critics_score,audience_score,title,release_dates,cast,year,alternate_ids
-1,94,The Purge: Anarchy,{'theater': '2014-07-18'},"Frank Grillo,Carmen Ejogo,Kiele Sanchez,Michael K. Williams,Zach Gilford,",2014,
-1,94,Think Like a Man Too,{'theater': '2014-06-20'},"Adam Brody,Michael Ealy,Jerry Ferrara,Meagan Good,Regina Hall,",2014,
61,74,Million Dollar Arm,{'theater': '2014-05-16'},"Jon Hamm,Aasif Mandvi,Bill Paxton,Madhur Mittal,Suraj Sharma,",2014,{u'imdb': u'3450650'}
18,63,Ride Along,"{'dvd': '2014-04-15', 'theater': '2014-01-17'}","Ice Cube,Kevin Hart,John Leguizamo,Bruce McGill,Tika Sumpter,",2014,
-1,90,Step Up: All In,{'theater': '2014-07-25'},"Izabella Miko,Alyson Stoner,Briana Evigan,Adam G. Sevani,Misha Gabriel,",2014,
78,71,Palo Alto,{'theater': '2014-05-09'},"Emma Roberts,James Franco,Jack Kilmer,Nat Wolff,Zoe Levin,",2014,{u'imdb': u'2058673'}
-1,92,Project Almanac (Welcome to Yesterday),{'theater': '2015-01-30'},"Sophia Black-DElia,Allen Evangelista,Ginny Gardner,Sam Lerner,Jonny Weston,",2014,
-1,85,"As Above, So Below",{'theater': '2014-08-15'},"Perdita Weeks,Ben Feldman,Edwin Hodge,",2014,
73,93,Begin Again,{'theater': '2014-07-04'},"Keira Knightley,Mark Ruffalo,Adam Levine,Catherine Keener,James Corden,",2014,
27,78,A Long Way Down,{'theater': '2014-07-11'},"Pierce Brosnan,Toni Collette,Imogen Poots,Aaron Paul,Rosamund Pike,",2014,
83,98,A Most Wanted Man,{'theater': '2014-07-25'},"Philip Seymour Hoffman,Rachel McAdams,Willem Dafoe,Robin Wright,Grigori Dobrygin,",2014,{u'imdb': u'2554274'}
-1,91,Annie,{'theater': '2014-12-19'},"Jamie Foxx,Quvenzhane Wallis,Rose Byrne,Bobby Cannavale,Adewale Akinnuoye-Agbaje,",2014,{u'imdb': u'1661199'}
31,64,Age of the Uprising,{'theater': '2014-05-30'},"Mads Mikkelsen,Melusine Mayance,Delphine Chuillot,David Kross,Bruno Ganz,",2014,{u'imdb': u'1823672'}
93,88,A Summer's Tale,"{'dvd': '2000-09-05', 'theater': '2014-06-20'}","Melvil Poupaud,Amanda Langlet,Gwenaelle Simon,Aurelia Nolin,Aime Lefevre,",2014,
-1,99,Dumb and Dumber To,{'theater': '2014-11-14'},"Jim Carrey,Jeff Daniels,Kathleen Turner,Laurie Holden,Cam Neely,",2014,{u'imdb': u'2094766'}
-1,94,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",{'theater': '2014-10-10'},"Steve Carell,Jennifer Garner,Dylan Minnette,Ed Oxenbould,Kerris Dorsey,",2014,{u'imdb': u'3195644'}
40,13,A Night In Old Mexico,{'theater': '2014-05-16'},"Robert Duvall,Jeremy Irvine,Angie Cepeda,Luis Tosar,Joaquin Cosio,",2014,
100,70,A People Uncounted,"{'dvd': '2014-08-26', 'theater': '2014-05-16'}","Aladar Adam,Adem Ademi,Dr. Gerhard Baumgertner,Bill Bila,Robi Botos,",2014,{u'imdb': u'1935859'}
-1,100,A Walk Among the Tombstones,{'theater': '2014-09-19'},"Liam Neeson,Ruth Wilson,Dan Stevens (IV),Sebastian Roche,Mark Consuelos,",2014,{u'imdb': u'3450650'}
75,76,A Coffee in Berlin,{'theater': '2014-06-13'},"Tom Schilling,Marc Hosemann,Friederike Kempter,Justus von Dohnanyi,Michael Gwisdek,",2014,
